,mu,variance,a,b
PAX7,0.0009999999999999998,0.016949127536287797,5.900008704631059e-05,0.059000087046310594
TAS1R2,0.029435170953318896,5.5689753552990195,0.0001555814550744383,0.005285563155762683
ALDH4A1,35.00701880576981,71.74009204568573,17.08237793850474,0.48797008489306853
IFFO2,50.9629661071491,268.00392641829296,9.690992028171832,0.19015753533255156
UBR4,112.74466029819,485.75794942819493,26.16809141408248,0.23210049455887696
EMC1,45.8727050744573,116.413712906673,18.07609274119732,0.39404898210945916
MRTO4,46.5326452683078,122.08638778819501,17.735696132010048,0.38114523749393153
AKR7A3,7.73929987692235,6.4471014703056,9.290494784486636,1.2004309087686034
AKR7A2,59.7986193204718,197.44180641021603,18.11103199291678,0.30286705945260084
PQLC2,60.609171985516184,199.28312583646394,18.43343089562139,0.30413599611666764
CAPZB,114.46113574626402,544.3035653139331,24.069935292024645,0.210289153039531
MINOS1-NBL1,51.547128328456,131.783010720125,20.162738917487303,0.39115154561106164
MINOS1,51.547128328456,131.783010720125,20.162738917487303,0.39115154561106164
NBL1,10.5314279204615,16.9129649160432,6.5577487208448435,0.6226837206096052
HTR6,0.896877179959957,0.5439187836910099,1.4788764426820808,1.648917461305135
TMCO4,45.2949268725187,97.1991736484619,21.107488092510984,0.4660011517827905
RNF186,0.001,0.0036993257360545995,0.0002703195315442859,0.2703195315442859
OTUD3,42.72897012578889,80.55555084684559,22.664668900120287,0.5304286256700842
PLA2G2E,0.017645146056701,0.463272686626517,0.0006720689312152717,0.038088034468835914
PLA2G2A,0.0086728687966593,0.0051359487305422,0.014645522591913748,1.688659535303365
PLA2G5,0.19196039332521903,0.03210480958497771,1.1477654931432721,5.979178690255805
PLA2G2D,0.040558622677142,0.0489439878425925,0.03360988644319759,0.8286742553055044
PLA2G2F,0.11297218615764298,9.999999999999998e-05,127.62714845237143,1129.72186157643
PLA2G2C,0.001,0.01019277436229,9.810871549356372e-05,0.09810871549356372
UBXN10,2.22953322506763,0.023632361159099696,210.3394734117137,94.34238119745147
VWA5B1,0.0134641076110457,0.278494829987032,0.0006509355802772355,0.04834598764965457
CAMK2N1,6.201897716327131,16.860219881785003,2.281318722618671,0.3678420423821028
MUL1,53.4777476864817,147.39217832148202,19.403129326043626,0.362826225214201
FAM43B,0.001,0.018651564675789,5.361480483715492e-05,0.053614804837154924
CDA,74.348748131149,380.81361583098,14.515595343425055,0.1952365804171978
PINK1,50.5067841888756,117.871203000659,21.64171726564454,0.4284912930649671
DDOST,63.3128962492319,161.55654620143903,24.81188738999112,0.39189310329950566
KIF17,33.981508404725105,62.343921868467405,18.52214103399956,0.5450652988501261
SH2D5,20.5143425790806,28.308729666393102,14.866023887729598,0.724664893862558
HP1BP3,79.6361314073193,255.75601666288097,24.796732089721573,0.31137539771856027
EIF4G3,90.5192542958835,412.50159534441804,19.863524143322326,0.2194397677912118
ECE1,181.707259505597,1900.97560673839,17.368727952108962,0.09558631834174994
NBPF3,31.5033134897417,129.293936290905,7.675988443881528,0.24365654255324698
ALPL,32.1360359963205,184.649781007399,5.592884020346741,0.17403776934364626
RAP1GAP,10.418194253535297,15.324068346437699,7.0828952893327,0.6798582476928954
USP48,94.95654046041741,383.0400830757031,23.539950450639502,0.24790235971636013
LDLRAD2,2.1686694417214403,0.00010000000000000003,47031.271474563815,21686.694417214396
HSPG2,17.6366553968428,25.624034016395203,12.139057159694763,0.6882856690542254
CELA3B,0.0053989976022313,0.0023643569283335005,0.012328584893248295,2.2834951599447146
CELA3A,0.0598597440399628,0.0113446594706431,0.31584808392020786,5.276469002429168
CDC42,91.55819546453819,317.79879947132093,26.37802021489096,0.28810113699879053
WNT4,3.1095099604568195,1.75546394991647,5.507975367218594,1.7713322797684221
ZBTB40,48.926476093372905,125.35421625112402,19.096286782407493,0.3903057875241926
EPHA8,0.110003267823793,0.0001,121.00718931913131,1100.03267823793
C1QA,3.113717967711,3.4180876347555396,2.836451436722663,0.9109532289489388
C1QC,2.0646647943287806,0.00010000000000000002,42628.407129407045,20646.6479432878
C1QB,3.3795900304480706,3.1463161724860504,3.6301592553806286,1.0741418996609293
EPHB2,4.71079538921618,2.97037410208332,7.4709758556997885,1.5859266298855041
KDM1A,71.8524662773159,199.01564557615004,25.94156301222744,0.36103928447084205
LUZP1,58.3935845264958,191.116816290954,17.841500188355763,0.30553870485995377
HTR1D,0.005385412017302299,0.008234245228070198,0.00352220049230926,0.6540261879672535
HNRNPR,85.373225259721,297.000757137206,24.540636399387832,0.28745120410679953
ZNF436,81.8914466727702,256.286004115344,26.16689530631166,0.31953148185147934
TCEA3,2.1834807962971,0.0001,47675.88387798218,21834.807962971
ASAP3,32.4721559135575,63.32016022041961,16.65253066328075,0.5128249170646574
E2F2,28.3159335673049,67.2812896593804,11.917014341538232,0.4208589596105798
ID3,43.9138306618451,129.152716023327,14.931350905922125,0.3400147671219982
RPL11,35.8192382588002,68.16872790812478,18.821208328398004,0.5254497092431591
TCEB3,99.33393982792121,363.54255487865703,27.141888808672068,0.2732388230617921
PITHD1,49.479106402094395,121.77653467740996,20.10388928240644,0.4063106782695547
LYPLA2,44.3161734068006,110.62279178040602,17.75333268862122,0.4006061743114503
GALE,53.2547001882499,109.47915216143602,25.905051657308928,0.48643690727273325
HMGCL,62.2646897395934,187.700613602499,20.65465591166406,0.3317234213813163
FUCA1,35.021660958197,73.81771582320852,16.615479395330734,0.47443436264098127
CNR2,3.8519914579821997,1.4520657464077997,10.21843413707299,2.6527665620592376
PNRC2,54.41148286647189,140.165364669067,21.12226137119122,0.3881949224399224
SRSF10,34.2749558181429,60.4582811710555,19.431127937822886,0.56691912429942
MYOM3,0.290556975216179,1.23209367533992,0.06852024122555768,0.23582376976005318
IL22RA1,1.06649527505791,0.0001,11374.121717208469,10664.9527505791
IFNLR1,7.53558248104694,8.19267274495351,6.9311938968439515,0.9197953727235935
GRHL3,32.2689816558738,49.550624023646,21.01461278490072,0.6512325988160059
STPG1,56.2199430339065,154.05820493121996,20.51615489189163,0.36492663963601396
NIPAL3,36.8176227857733,79.4266587307247,17.066528659994223,0.4635423845612569
RCAN3,52.288107562331,150.36392094146998,18.182860458355158,0.3477437089625006
NCMAP,1.8977280637557603,0.677845757728396,5.31296650145771,2.7996458517575546
SRRM1,85.85531855588931,284.23339648833513,25.9333907113049,0.3020592218107375
CLIC4,95.00953895168098,308.7127244957109,29.240169826353885,0.3077603591069373
RUNX3,63.56861486478199,170.88610506311093,23.647146702387463,0.37199405323975926
SYF2,69.6820160740963,202.405484478814,23.98938633828795,0.3442694067975712
C1orf63,296.0887072777749,3156.5838831064198,27.77322758524275,0.09380036084654644
RHD,22.6710250396901,99.8958576457236,5.1451120042739635,0.2269465979269323
TMEM50A,187.627472683664,1511.07513356314,23.297364719811984,0.12416819555572682
RHCE,104.593614184886,450.497433698471,24.283876688139088,0.23217360713067473
TMEM57,99.15054753806082,389.26211953974706,25.255041740822264,0.2547140925381944
LDLRAP1,81.5425936471361,416.706223357947,15.956552136708458,0.1956836473188252
MAN1C1,32.71898713367279,62.89799585527159,17.020130840364807,0.5201912507508069
SEPN1,25.8026972806932,65.9984685283434,10.08779751719799,0.390959030657084
